!angle      IT11 (D)       T20 (D)           T21 (D)         T22 (D)      
0         0.000000E+00  -0.327147E-01	   0.000000E+00	   0.000000E+00
2.5       0.113791E-01  -0.325769E-01	   0.117843E-02	  -0.186519E-03
5         0.226753E-01  -0.321633E-01	   0.230968E-02	  -0.743364E-03
7.5       0.338089E-01  -0.314730E-01	   0.334691E-02	  -0.166253E-02
10        0.447059E-01  -0.305052E-01	   0.424387E-02	  -0.293109E-02
12.5      0.552985E-01  -0.292591E-01	   0.495536E-02	  -0.453170E-02
15        0.655253E-01  -0.277344E-01	   0.543742E-02	  -0.644320E-02
17.5      0.753279E-01  -0.259309E-01	   0.564764E-02	  -0.864115E-02
20        0.846473E-01  -0.238478E-01	   0.554504E-02	  -0.110982E-01
22.5      0.934178E-01  -0.214829E-01	   0.508981E-02	  -0.137846E-01
25        0.101561E+00  -0.188317E-01	   0.424259E-02	  -0.166682E-01
27.5      0.108981E+00  -0.158868E-01	   0.296346E-02	  -0.197149E-01
30        0.115557E+00  -0.126382E-01	   0.121075E-02	  -0.228893E-01
32.5      0.121140E+00  -0.907544E-02	  -0.106027E-02	  -0.261553E-01
35        0.125555E+00  -0.519075E-02	  -0.389843E-02	  -0.294774E-01
37.5      0.128596E+00  -0.983627E-03	  -0.735733E-02	  -0.328221E-01
40        0.130033E+00   0.353347E-02	  -0.114953E-01	  -0.361594E-01
42.5      0.129615E+00   0.832924E-02	  -0.163746E-01	  -0.394644E-01
45        0.127079E+00   0.133480E-01	  -0.220594E-01	  -0.427188E-01
47.5      0.122158E+00   0.185053E-01	  -0.286132E-01	  -0.459120E-01
50        0.114590E+00   0.236844E-01	  -0.360948E-01	  -0.490419E-01
52.5      0.104134E+00   0.287344E-01	  -0.445537E-01	  -0.521157E-01
55        0.905803E-01   0.334684E-01	  -0.540248E-01	  -0.551501E-01
57.5      0.737675E-01   0.376626E-01	  -0.645216E-01	  -0.581717E-01
60        0.535976E-01   0.410546E-01	  -0.760294E-01	  -0.612162E-01
62.5      0.300533E-01   0.433432E-01	  -0.884970E-01	  -0.643268E-01
65        0.321672E-02   0.441899E-01	  -0.101828E+00	  -0.675515E-01
67.5     -0.267129E-01   0.432247E-01	  -0.115871E+00	  -0.709385E-01
70       -0.594016E-01   0.400573E-01	  -0.130418E+00	  -0.745302E-01
72.5     -0.943683E-01   0.342974E-01	  -0.145194E+00	  -0.783562E-01
75       -0.130981E+00   0.255802E-01	  -0.159866E+00	  -0.824256E-01
77.5     -0.168463E+00   0.135987E-01	  -0.174051E+00	  -0.867205E-01
80       -0.205925E+00  -0.186386E-02	  -0.187330E+00	  -0.911917E-01
82.5     -0.242400E+00  -0.209062E-01	  -0.199277E+00	  -0.957571E-01
85       -0.276904E+00  -0.434885E-01	  -0.209476E+00	  -0.100305E+00
87.5     -0.308503E+00  -0.694243E-01	  -0.217555E+00	  -0.104699E+00
90       -0.336363E+00  -0.983830E-01	  -0.223197E+00	  -0.108793E+00
92.5     -0.359807E+00  -0.129902E+00	  -0.226163E+00	  -0.112440E+00
95       -0.378327E+00  -0.163405E+00	  -0.226291E+00	  -0.115508E+00
97.5     -0.391594E+00  -0.198222E+00	  -0.223500E+00	  -0.117895E+00
100      -0.399434E+00  -0.233608E+00	  -0.217777E+00	  -0.119543E+00
102.5    -0.401793E+00  -0.268760E+00	  -0.209170E+00	  -0.120448E+00
105      -0.398698E+00  -0.302821E+00	  -0.197765E+00	  -0.120669E+00
107.5    -0.390216E+00  -0.334876E+00	  -0.183671E+00	  -0.120340E+00
110      -0.376417E+00  -0.363925E+00	  -0.167006E+00	  -0.119681E+00
112.5    -0.357343E+00  -0.388847E+00	  -0.147898E+00	  -0.119014E+00
115      -0.332988E+00  -0.408334E+00	  -0.126501E+00	  -0.118776E+00
117.5    -0.303274E+00  -0.420824E+00	  -0.103038E+00	  -0.119537E+00
120      -0.268058E+00  -0.424434E+00	  -0.778849E-01	  -0.121995E+00
122.5    -0.227149E+00  -0.416934E+00	  -0.516856E-01	  -0.126959E+00
125      -0.180403E+00  -0.395818E+00	  -0.255043E-01	  -0.135267E+00
127.5    -0.127891E+00  -0.358561E+00	  -0.988156E-03	  -0.147653E+00
130      -0.702025E-01  -0.303189E+00	   0.195235E-01	  -0.164489E+00
132.5    -0.884344E-02  -0.229227E+00	   0.330605E-01	  -0.185449E+00
135       0.533738E-01  -0.138962E+00	   0.364204E-01	  -0.209125E+00
137.5     0.112239E+00  -0.385308E-01	   0.270217E-01	  -0.232833E+00
140       0.162689E+00   0.620495E-01	   0.406885E-02	  -0.252867E+00
142.5     0.200081E+00   0.150704E+00	  -0.305234E-01	  -0.265386E+00
145       0.221721E+00   0.216713E+00	  -0.721749E-01	  -0.267642E+00
