!Theory esults of 140 MeV NN nijm1
! th_cm       iT11         T20         T21         T22
0     0    -0.0287594   -0   0 
2.5     0.0125929    -0.028594   0.00110505   -0.000249993 
5     0.0250974    -0.0280976   0.00214486   -0.000995929 
7.5     0.037427    -0.0272696   0.00305707   -0.00223002 
10     0.0495046    -0.0261106   0.00377703   -0.00393695 
12.5     0.0612652    -0.0246236   0.00424295   -0.00609595 
15     0.0726483    -0.0228106   0.00439306   -0.00868306 
17.5     0.0836009    -0.02068   0.0041702   -0.01167 
20     0.0940729    -0.018237   0.00351491   -0.015027 
22.5     0.104004    -0.0154899   0.0023758   -0.0187171 
25     0.113322    -0.0124479   0.000698016   -0.0227031 
27.5     0.121928    -0.00911814   -0.00156808   -0.0269429 
30     0.129698    -0.00550412   -0.00447273   -0.0313911 
32.5     0.136469    -0.00161432   -0.00806501   -0.0359969 
35     0.142044    0.00253993   -0.0123951   -0.0407101 
37.5     0.146188    0.00693813   -0.0175087   -0.0454808 
40     0.148635    0.0115435   -0.0234531   -0.0502609 
42.5     0.149094    0.0162981   -0.0302722   -0.0550091 
45     0.147258    0.0211192   -0.0379989   -0.0596931 
47.5     0.142817    0.0258928   -0.0466632   -0.0642931 
50     0.135469    0.0304791   -0.0562761   -0.0688069 
52.5     0.124937    0.0347062   -0.066837   -0.0732479 
55     0.110984    0.0383761   -0.0783251   -0.0776478 
57.5     0.0934294    0.0412696   -0.0906948   -0.0820559 
60     0.072165    0.0431434   -0.10388   -0.086539 
62.5     0.0471776    0.0437317   -0.117778   -0.0911752 
65     0.0185633    0.0427467   -0.132255   -0.0960489 
67.5     -0.0134537    0.0398851   -0.147137   -0.10124 
70     -0.0485044    0.0348342   -0.162211   -0.106818 
72.5     -0.0860587    0.0272873   -0.177222   -0.112824 
75     -0.125438    0.0169635   -0.191884   -0.119261 
77.5     -0.165817    0.00362887   -0.205892   -0.126086 
80     -0.206261    -0.0128835   -0.218937   -0.133204 
82.5     -0.245778    -0.0326577   -0.230724   -0.140466 
85     -0.283374    -0.0556804   -0.240991   -0.147678 
87.5     -0.318122    -0.081842   -0.249515   -0.154611 
90     -0.349219    -0.110944   -0.256121   -0.161021 
92.5     -0.376023    -0.1427   -0.260678   -0.166665 
95     -0.398075    -0.176751   -0.263096   -0.171322 
97.5     -0.41509    -0.212667   -0.263314   -0.174813 
100     -0.426931    -0.249952   -0.261292   -0.177015 
102.5     -0.433569    -0.288056   -0.256998   -0.177873 
105     -0.43504    -0.326355   -0.250394   -0.177415 
107.5     -0.431394    -0.364149   -0.241422   -0.175758 
110     -0.422654    -0.400617   -0.229991   -0.173129 
112.5     -0.408778    -0.434754   -0.215968   -0.169881 
115     -0.389618    -0.465279   -0.199197   -0.166523 
117.5     -0.364884    -0.490499   -0.179532   -0.163749 
120     -0.334119    -0.508161   -0.156925   -0.162467 
122.5     -0.296693    -0.515294   -0.131566   -0.163795 
125     -0.251863    -0.508136   -0.104093   -0.169015 
127.5     -0.198957    -0.48227   -0.075869   -0.17942 
130     -0.137768    -0.433207   -0.0492751   -0.195991 
132.5     -0.0692119    -0.357722   -0.0278577   -0.218851 
135     0.00385295    -0.256084   -0.016048   -0.246564 
137.5     0.0761003    -0.134569   -0.0180838   -0.275591 
140     0.140245    -0.006557   -0.0361779   -0.300538 
142.5     0.189089    0.109956   -0.068774   -0.315637 
145     0.218254    0.198377   -0.110363   -0.316969 
147.5     0.227761    0.249525   -0.153391   -0.303947 
150     0.221347    0.263548   -0.191   -0.279065 
152.5     0.204349    0.247376   -0.218796   -0.246386 
155     0.181761    0.210555   -0.235062   -0.209991 
157.5     0.157279    0.162111   -0.240002   -0.173126 
160     0.133191    0.109144   -0.234842   -0.138014 
162.5     0.110682    0.056652   -0.221174   -0.106016 
165     0.0902009    0.0078998   -0.200587   -0.0778828 
167.5     0.0717632    -0.0350951   -0.17452   -0.0539828 
170     0.055152    -0.0711427   -0.144219   -0.0344571 
172.5     0.0400433    -0.099579   -0.110748   -0.0193303 
175     0.0260674    -0.120051   -0.0750272   -0.00857192 
177.5     0.0128458    -0.132383   -0.0378649   -0.00214024 
180     0    -0.1365   -0   0 
