!final results of 140 MeV with statistical  errors from RIKEN
! th_cm      iT11       err            T22            err     T20  err     T21      err
70.1     -0.0892006    0.00259808    -0.111717   0.00144338   0.0473762   0.00353553   -0.1351   0.00288675 
75     -0.181865    0.00259808    -0.129038   0.00163299   0.033234   0.004   -0.165122   0.0023094 
80     -0.253745    0.00519615    -0.140296   0.00440643   0.0282843   0.0107935   -0.201495   0.0034641 
85     -0.341214    0.0034641    -0.153575   0.00204124   -0.0537401   0.005   -0.229208   0.00404145 
88.2     -0.377587    0.0034641    -0.156173   0.00248328   -0.108187   0.00608276   -0.249993   0.00519615 
95     -0.458993    0.00433013    -0.17869   0.00204124   -0.19304   0.005   -0.257498   0.0046188 
100     -0.471118    0.0034641    -0.177824   0.00184842   -0.281428   0.00452769   -0.252879   0.0046188 
105     -0.478046    0.00433013    -0.170896   0.00225462   -0.336583   0.00552268   -0.251725   0.0046188 
110.7     -0.452065    0.00606218    -0.157617   0.0073598   -0.411536   0.0180278   -0.232095   0.00635085 
120     -0.321295    0.00519615    -0.151266   0.00266145   -0.469519   0.0065192   -0.150688   0.0034641 
130     -0.109985    0.0069282    -0.191103   0.00347611   -0.34224   0.00851469   -0.0456107   0.0046188 
