!Theory esults of 140 MeV NN av18
! th_cm       iT11         T20         T21         T22
0     0    -0.0284002   -0   0 
2.5     0.0126959    -0.0282291   0.00109581   -0.000248838 
5     0.0252957    -0.0277186   0.0021258   -0.000993042 
7.5     0.0377076    -0.0268665   0.00302705   -0.00222193 
10     0.0498493    -0.0256772   0.00373488   -0.00392107 
12.5     0.0616463    -0.0241505   0.0041881   -0.00606795 
15     0.073038    -0.0222944   0.00432378   -0.00863803 
17.5     0.083969    -0.0201137   0.00408706   -0.0116021 
20     0.0943864    -0.0176169   0.0034208   -0.014928 
22.5     0.10423    -0.0148139   0.00227187   -0.0185791 
25     0.113428    -0.0117125   0.000590052   -0.0225149 
27.5     0.121885    -0.00832053   -0.00167489   -0.0266941 
30     0.129477    -0.00464357   -0.00456973   -0.0310681 
32.5     0.136049    -0.000690136   -0.00814295   -0.0355879 
35     0.141409    0.00352846   -0.012439   -0.0402021 
37.5     0.145329    0.00798819   -0.0175053   -0.0448598 
40     0.147554    0.0126487   -0.0233833   -0.0495159 
42.5     0.147804    0.0174514   -0.0301129   -0.0541329 
45     0.145786    0.0223071   -0.0377258   -0.058681 
47.5     0.141205    0.0270985   -0.0462452   -0.063148 
50     0.133775    0.0316805   -0.0556808   -0.067537 
52.5     0.123236    0.0358786   -0.0660269   -0.071868 
55     0.109364    0.0394969   -0.0772599   -0.0761828 
57.5     0.0919918    0.042314   -0.089334   -0.0805401 
60     0.0710201    0.0440902   -0.102181   -0.0850128 
62.5     0.0464354    0.0445661   -0.115705   -0.0896879 
65     0.0183303    0.043463   -0.129778   -0.0946543 
67.5     -0.0130848    0.0404882   -0.144238   -0.099995 
70     -0.0474599    0.0353391   -0.158888   -0.105778 
72.5     -0.084298    0.0277221   -0.173493   -0.112043 
75     -0.122956    0.0173609   -0.187792   -0.118784 
77.5     -0.16265    0.00402839   -0.201505   -0.125947 
80     -0.202489    -0.0124479   -0.214344   -0.13342 
82.5     -0.241516    -0.0321529   -0.226038   -0.141036 
85     -0.27877    -0.0550879   -0.236336   -0.148577 
87.5     -0.313342    -0.081161   -0.245024   -0.155791 
90     -0.344434    -0.110193   -0.251924   -0.162408 
92.5     -0.371401    -0.141918   -0.256897   -0.168163 
95     -0.393767    -0.175993   -0.259833   -0.172814 
97.5     -0.411226    -0.212003   -0.260649   -0.176168 
100     -0.423618    -0.249465   -0.259278   -0.178093 
102.5     -0.430891    -0.287831   -0.255658   -0.178534 
105     -0.433058    -0.326476   -0.249722   -0.177525 
107.5     -0.430153    -0.364695   -0.241383   -0.175197 
110     -0.422185    -0.401652   -0.230523   -0.171799 
112.5     -0.409098    -0.436323   -0.216988   -0.167715 
115     -0.390727    -0.467399   -0.200598   -0.163491 
117.5     -0.366762    -0.493143   -0.181192   -0.159873 
120     -0.336712    -0.511233   -0.15871   -0.157828 
122.5     -0.299895    -0.518591   -0.133337   -0.158554 
125     -0.255497    -0.511305   -0.105726   -0.16343 
127.5     -0.202758    -0.484746   -0.0772853   -0.173856 
130     -0.141383    -0.434201   -0.0504881   -0.190915 
132.5     -0.0722482    -0.356284   -0.0290378   -0.214781 
135     0.001713    -0.251355   -0.0175497   -0.243942 
137.5     0.0749294    -0.126223   -0.0203972   -0.274608 
140     0.139769    0.00478146   -0.0397252   -0.30099 
142.5     0.188764    0.122684   -0.073656   -0.316963 
145     0.217532    0.210491   -0.11624   -0.318491 
147.5     0.226347    0.259423   -0.159614   -0.305147 
150     0.219258    0.270497   -0.196898   -0.27972 
152.5     0.201804    0.251451   -0.223895   -0.246513 
155     0.179034    0.212301   -0.239142   -0.209733 
157.5     0.154598    0.162206   -0.243054   -0.172652 
160     0.130713    0.108204   -0.236982   -0.137465 
162.5     0.108494    0.0551508   -0.222573   -0.105489 
165     0.0883398    0.00616385   -0.201426   -0.0774351 
167.5     0.0702381    -0.0368629   -0.174966   -0.0536399 
170     0.053956    -0.0728377   -0.144411   -0.034223 
172.5     0.0391617    -0.101159   -0.110798   -0.019192 
175     0.0254889    -0.121521   -0.0750163   -0.00850899 
177.5     0.0125591    -0.133778   -0.0378459   -0.00212407 
180     0    -0.137867   -0   0 
