!angle   Ay     err      Ayy      err   Axx      err    Axz     err
70.1	-0.103	0.003	0.160	0.003	-0.227	0.004	0.234	0.005
75.0	-0.210	0.003	0.200	0.004	-0.247	0.004	0.286	0.004
80.0	-0.293	0.006	0.223	0.008	-0.263	0.013	0.349	0.006
85.0	-0.394	0.004	0.304	0.005	-0.228	0.005	0.397	0.007
88.2	-0.436	0.004	0.347	0.005	-0.194	0.007	0.433	0.009
95.0	-0.530	0.005	0.446	0.005	-0.173	0.005	0.446	0.008
100.	-0.544	0.004	0.507	0.005	-0.109	0.004	0.438	0.008
105.	-0.552	0.005	0.534	0.006	-0.058	0.005	0.436	0.008
110.7	-0.522	0.007	0.564	0.025	0.018	0.005	0.402	0.011
120.	-0.371	0.006	0.594	0.007	0.070	0.006	0.261	0.006
130.0	-0.127	0.008	0.573	0.008	-0.089	0.009	0.079	0.008

