!systematic errors 130 MeV
! th_cm    value    Staterr(l)    Syserr   errbeta   erralpha   errratio
70      -0.0749   0.00578    0.00226108    0.0002    0.0001    0.00225 
75.6    -0.186    0.00618    0.00559017    0.001     0	       0.0055 
83.2    -0.275    0.0021     0.00784219    0.0035    0.0005    0.007 
89.2    -0.359    0.0026     0.0127867     0.0025    0.001     0.0125 
95.2    -0.418    0.00289    0.0169485     0.0025    0.005     0.016 
101     -0.439    0.00289    0.0140268     0.0035    0.0015    0.0135 
111     -0.418    0.00339    0.0132759     0.001     0.0025    0.013 
119     -0.326    0.00337    0.0111018     0.003     0.002     0.0105 
70      -0.102    0.00239    0.000707107   0         0.0005    0.0005 
75.6    -0.124    0.00226    0.001         0.001     0         0 
83.2    -0.136    0.000963   0.00165831    0.0015    0.0005    0.0005 
89.2    -0.149    0.000831   0.00180278    0         0.0015    0.001 
95.2    -0.158    0.00104    0.0041833     0.0025    0.003     0.0015 
101     -0.153    0.000773   0.00655744    0.005     0.003     0.003 
111     -0.145    0.00112    0.00234521    0.0015    0.0015    0.001 
119     -0.128    0.00123    0.00474342    0.0025    0.002     0.0035 
70      0.0489    0.0143     0.0105615     0.0046    0.00615   0.00725 
75.6    0.0128    0.00414    0.000287228   5e-05     0.0002    0.0002 
83.2    -0.0479   0.000913   0.0103292     0.00595   0.008     0.0027 
89.2    -0.121    0.00124    0.0161012     0.007     0.01      0.0105 
95.2    -0.204    0.00155    0.009         0.007     0.004     0.004 
101     -0.301    0.00214    0.0114127     0.0055    0.008     0.006 
111     -0.443    0.00324    0.0243465     0.0125    0.0195    0.0075 
119     -0.49     0.00438    0.0307164     0.0155    0.0185    0.019 
70      -0.124    0.0104     0.00502494    0.005     0.0005    0 
75.6    -0.144    0.00877    0.0060208     0.006     0.0005    0 
83.2    -0.216    0.00255    0.0170953     0.017     0.0015    0.001 
89.2    -0.238    0.00256    0.0176989     0.017     0.002     0.0045 
95.2    -0.267    0.00244    0.0190919     0.0185    0.004     0.0025 
101     -0.254    0.00278    0.0159609     0.0155    0.0035    0.0015 
111     -0.214    0.00347    0.0159452     0.015     0.0045    0.003 
119     -0.151    0.00328    0.0108972     0.0105    0.0015    0.0025 
