 0 28 20 180 140 0.096602 0.018238  -0.009814 0.024050 -0.224748 0.015575 139.000000 
 1 28 22 180 140 0.013352 0.014898  -0.155504 0.020253 -0.202090 0.012774 134.800000 
 2 29 24 180 140 -0.097734 0.014488  -0.289194 0.022757 -0.159839 0.013876 130.700000 
 3 29 26 180 140 -0.215355 0.013646  -0.410400 0.019373 -0.143524 0.011093 126.600000 
 4 30 28 180 140 -0.270331 0.013155  -0.425105 0.015413 -0.137478 0.008552 122.600000 




! 0 28 20 180 140 0.093645 0.017680  -0.010089 0.024724 -0.231042 0.016011 139.000000 
! 1 28 22 180 140 0.012943 0.014441  -0.159859 0.020820 -0.207750 0.013132 134.800000 
! 2 29 24 180 140 -0.094742 0.014045  -0.297293 0.023394 -0.164316 0.014264 130.700000 
! 3 29 26 180 140 -0.208762 0.013228  -0.421894 0.019915 -0.147544 0.011404 126.600000 
! 4 30 28 180 140 -0.262055 0.012752  -0.437011 0.015844 -0.141328 0.008791 122.600000 


! 0 28 20 180 140 0.093645 0.017680  -0.021173 0.024576 -0.229661 0.015915 139.000000 
! 1 28 22 180 140 0.012943 0.014441  -0.170047 0.020696 -0.206508 0.013054 134.800000 
! 2 29 24 180 140 -0.094742 0.014045  -0.306660 0.023255 -0.163333 0.014179 130.700000 
! 3 29 26 180 140 -0.208762 0.013228  -0.430515 0.019796 -0.146662 0.011335 126.600000 
! 4 30 28 180 140 -0.262055 0.012752  -0.445542 0.015749 -0.140483 0.008739 122.600000 

! 0 28 20 180 140 0.084574 0.012338  -0.016858 0.018004 -0.234883 0.012145 139.000000 
! 1 28 22 180 140 0.014804 0.009981  -0.164555 0.014765 -0.214135 0.009836 134.800000 
! 2 29 24 180 140 -0.088147 0.009373  -0.283938 0.017176 -0.174183 0.011066 130.700000 
! 3 29 26 180 140 -0.206496 0.008886  -0.432943 0.014189 -0.139955 0.008398 126.600000 
! 4 30 28 180 140 -0.260237 0.008509  -0.451275 0.011329 -0.138420 0.006529 122.600000 

 
! 0 28 20 180 140 0.093051 0.009981  0.034170 0.014893 -0.242424 0.010056 139.000000 
! 1 28 22 180 140 0.016414 0.007960  -0.130465 0.011986 -0.212001 0.007984 134.800000 
! 2 29 24 180 140 -0.103877 0.007516  -0.283158 0.013624 -0.170328 0.008733 130.700000 
! 3 29 26 180 140 -0.199807 0.007184  -0.428813 0.011368 -0.130530 0.006757 126.600000 
! 4 30 28 180 140 -0.261453 0.006858  -0.467328 0.009235 -0.134965 0.005316 122.600000 
